,body,head_wear,accessories,tail,teeth
0,Red_body,Backwards_hat,Balloon,Fanned_Tail,Human_Teeth
1,Rainbow_body,Beanie,Moustache,Flower_tail,Braces
2,Green_body,Horns,none,Pointy_Tail,Shark_Teeth
3,Green_body,none,Moustache,Flower_tail,Buck_Tooth
4,Yellow_body,Umbrella_hat,Cigar,Flower_tail,Buck_Tooth
5,Blue_body,none,Earring,Heart_Tail,Braces
6,Yellow_body,Beanie,Wings,Heart_Tail,Gold_grill
7,Rainbow_body,Backwards_hat,none,Heart_Tail,Human_Teeth
8,Black_body,Beanie,none,Flower_tail,Buck_Tooth
9,Green_body,Afro,Little_fish,Pointy_Tail,Buck_Tooth
10,Scaled_ body,Spinner_hat,none,Pointy_Tail,Shark_Teeth
11,Scaled_ body,Spinner_hat,Goggles,Jet_Tail,Buck_Tooth
12,Green_body,Fin,none,Curved_Tail,none
13,Scaled_ body,Backwards_hat,Balloon,Propeller_Tail,none
14,Yellow_body,none,Cigar,Pointy_Tail,none
15,Green_body,Backwards_hat,Wings,Fanned_Tail,Buck_Tooth
16,Green_body,Backwards_hat,Balloon,Curved_Tail,Human_Teeth
17,Scaled_ body,Afro,Balloon,Curved_Tail,none
18,Red_body,Spinner_hat,Earring,Fanned_Tail,none
19,Yellow_body,none,Earring,Curved_Tail,Buck_Tooth
20,Orange_body,Horns,Cigar,Flower_tail,Buck_Tooth
21,Scaled_ body,none,Wings,Flower_tail,none
22,Orange_body,Backwards_hat,Little_fish,Heart_Tail,none
23,Orange_body,Spinner_hat,none,Fanned_Tail,none
24,Blue_body,none,Moustache,Propeller_Tail,none
25,Orange_body,Horns,Goggles,Jet_Tail,Buck_Tooth
26,Scaled_ body,Spinner_hat,none,Pointy_Tail,Human_Teeth
27,Blue_body,Afro,none,Curved_Tail,Shark_Teeth
28,Blue_body,Beanie,Moustache,Fanned_Tail,none
29,Red_body,none,Moustache,Pointy_Tail,none
30,Green_body,none,Goggles,Dragon_Tail,Buck_Tooth
31,Orange_body,none,none,Dragon_Tail,Buck_Tooth
32,Blue_body,none,Moustache,Pointy_Tail,none
33,Yellow_body,Backwards_hat,none,Curved_Tail,Shark_Teeth
34,Green_body,Afro,none,Fanned_Tail,none
35,Green_body,none,Wings,Pointy_Tail,Braces
36,Red_body,Afro,Moustache,Curved_Tail,Human_Teeth
37,Scaled_ body,Beanie,none,Jet_Tail,Buck_Tooth
38,Yellow_body,none,Moustache,Heart_Tail,Buck_Tooth
39,Red_body,Beanie,Earring,Propeller_Tail,Buck_Tooth
40,Orange_body,none,Earring,Fanned_Tail,Braces
41,Green_body,none,none,Pointy_Tail,Buck_Tooth
42,Robot_body,none,Wings,Fanned_Tail,none
43,Blue_body,Spinner_hat,Wings,Heart_Tail,none
44,Rainbow_body,Fin,Wings,Pointy_Tail,Buck_Tooth
45,Red_body,Beanie,none,Pointy_Tail,Braces
46,Green_body,none,Earring,Curved_Tail,Shark_Teeth
47,Yellow_body,none,none,Propeller_Tail,Braces
48,Green_body,Beanie,Moustache,Curved_Tail,Buck_Tooth
49,Yellow_body,none,none,Pointy_Tail,none
50,Scaled_ body,Horns,Wings,Fanned_Tail,Gold_grill
51,Yellow_body,Fin,none,Flower_tail,none
52,Green_body,Backwards_hat,Wings,Fanned_Tail,Shark_Teeth
53,Blue_body,Umbrella_hat,none,Fanned_Tail,Shark_Teeth
54,Blue_body,none,Goggles,Fanned_Tail,Braces
55,Scaled_ body,Backwards_hat,Earring,Fanned_Tail,none
56,Red_body,none,none,Flower_tail,none
57,Orange_body,Beanie,none,Fanned_Tail,Braces
58,Blue_body,Backwards_hat,none,Jet_Tail,Shark_Teeth
59,Red_body,Backwards_hat,none,Curved_Tail,Gold_grill
60,Orange_body,Backwards_hat,none,Fanned_Tail,none
61,Red_body,none,none,Dragon_Tail,Buck_Tooth
62,Red_body,Afro,Earring,Fanned_Tail,Shark_Teeth
63,Yellow_body,none,none,Heart_Tail,Braces
64,Orange_body,Afro,none,Curved_Tail,Shark_Teeth
65,Blue_body,Beanie,none,Fanned_Tail,Braces
66,Blue_body,Afro,none,Curved_Tail,Human_Teeth
67,Green_body,none,Goggles,Curved_Tail,Human_Teeth
68,Blue_body,none,none,Pointy_Tail,Shark_Teeth
69,Green_body,Top_hat,Moustache,Curved_Tail,none
70,Red_body,Beanie,Moustache,Propeller_Tail,Human_Teeth
71,Yellow_body,Beanie,Cigar,Heart_Tail,Shark_Teeth
72,Red_body,Afro,Goggles,Pointy_Tail,none
73,Blue_body,Afro,Earring,Pointy_Tail,none
74,Green_body,Beanie,Balloon,Fanned_Tail,none
75,Red_body,none,none,Heart_Tail,none
76,Green_body,Backwards_hat,Balloon,Jet_Tail,none
77,Blue_body,none,Balloon,Flower_tail,Braces
78,Red_body,Spinner_hat,Balloon,Fanned_Tail,Gold_grill
79,Red_body,Fin,Earring,Curved_Tail,Gold_grill
80,Blue_body,Backwards_hat,Wings,Dragon_Tail,none
81,Blue_body,none,Wings,Pointy_Tail,Shark_Teeth
82,Black_body,Beanie,Earring,Pointy_Tail,Shark_Teeth
83,Green_body,none,Earring,Flower_tail,Human_Teeth
84,Yellow_body,Horns,Earring,Pointy_Tail,none
85,Orange_body,Backwards_hat,Moustache,Pointy_Tail,Human_Teeth
86,Blue_body,none,none,Dragon_Tail,Braces
87,Alien_body,Beanie,Moustache,Curved_Tail,none
88,Scaled_ body,Horns,none,Dragon_Tail,Buck_Tooth
89,Yellow_body,Beanie,Balloon,Flower_tail,Buck_Tooth
90,Yellow_body,Spinner_hat,Earring,Fanned_Tail,Buck_Tooth
91,Red_body,none,Little_fish,Flower_tail,Braces
92,Rainbow_body,Fin,none,Fanned_Tail,Human_Teeth
93,Yellow_body,Afro,none,Fanned_Tail,Shark_Teeth
94,Yellow_body,Spinner_hat,none,Curved_Tail,Human_Teeth
95,Scaled_ body,none,Moustache,Heart_Tail,Buck_Tooth
96,Black_body,Beanie,Cigar,Fanned_Tail,Human_Teeth
97,Yellow_body,Horns,Goggles,Curved_Tail,none
98,Green_body,Umbrella_hat,none,Flower_tail,Human_Teeth
99,Black_body,none,Goggles,Heart_Tail,Human_Teeth
100,Rainbow_body,Top_hat,none,Pointy_Tail,Buck_Tooth
101,Orange_body,Beanie,none,Pointy_Tail,none
102,Red_body,none,none,Curved_Tail,Shark_Teeth
103,Red_body,Umbrella_hat,none,Fanned_Tail,Shark_Teeth
104,Rainbow_body,none,none,Curved_Tail,Buck_Tooth
105,Blue_body,none,none,Flower_tail,none
106,Robot_body,none,Earring,Curved_Tail,none
107,Yellow_body,Top_hat,Balloon,Heart_Tail,Shark_Teeth
108,Rainbow_body,Backwards_hat,Goggles,Propeller_Tail,Shark_Teeth
